run,generations,best_fitness,evaluations,elapsed_time,neurons,inputs,connections,distinct_fitnesses,distinct_genomes,avg_fitness
64,6,0.9999999999999432,798,36.50557494163513,7,1,14,277,498,0.05691040100906924
65,47,0.9999999999999432,2839,215.4624788761139,6,2,10,469,490,0.27475630580672594
66,12,0.9999999999999432,1095,63.29071068763733,6,1,12,331,495,0.08835826882635542
67,36,0.9999999999999041,2292,179.15387105941772,7,2,16,466,492,0.287317834210961
68,39,0.9999999999999432,2439,189.18556594848633,12,2,20,475,490,0.19606479777774014
69,51,0.9999999999991762,3038,244.1597876548767,7,2,12,458,488,0.3123463465592371
70,12,0.9999999999998885,1100,60.10279607772827,6,2,16,303,500,0.06799218618549438
71,11,0.9999999999999432,1045,58.44739079475403,6,2,8,293,495,0.07601569670476205
72,0,0.9999999999999432,500,7.080093145370483,6,2,11,114,500,0.021796818984626765
73,0,0.9999999999999432,500,7.136952638626099,7,2,12,123,500,0.012473406151925676
74,0,0.9999999999999432,500,7.201271057128906,6,2,13,122,500,0.020237684418780183
75,22,0.9999999993729531,1592,103.60893130302429,6,2,11,337,492,0.1004290225744131
76,130,0.9999999999977272,6966,639.0299878120422,20,0,41,267,481,0.9164745591827891
77,37,0.9999999999999432,2341,180.5723009109497,6,1,16,478,491,0.23443782863133125
78,1,0.9999999999994422,550,12.272993803024292,20,2,31,142,500,0.02142845970541754
79,0,0.9999999999999432,500,7.086723804473877,6,2,10,121,500,0.004945617580627099
80,0,0.9999999725252938,500,7.435807943344116,6,2,11,119,500,0.015022072524577896
81,76,0.9999999685541882,4233,382.529061794281,20,0,40,185,441,0.9305617901727967
82,124,0.9999999999895561,6664,591.7731850147247,20,0,47,378,486,0.9192800537749262
83,24,0.9999999999990237,1693,114.45524525642395,6,1,12,403,493,0.15823156019154896
84,0,0.9999999999993898,500,6.942320823669434,7,2,14,124,500,0.010696491087399507
85,2,0.9999999997622973,600,14.552812099456787,6,2,12,144,500,0.025391900968554624
86,20,0.9999999999999045,1493,103.36573624610901,7,2,18,381,493,0.123826192418973
87,33,0.9999999101388458,2137,161.63100719451904,6,2,12,456,487,0.2570958548673497
88,4,0.9999999999999432,699,23.867265939712524,7,2,15,188,499,0.03086267461619459
89,80,0.9999999999999432,4471,400.2479898929596,7,2,14,264,477,0.9029295871251902
90,26,0.999999999986112,1788,120.38401412963867,6,2,11,422,489,0.15057143796453712
91,0,0.9999999999999432,500,6.520291090011597,8,2,14,110,500,0.01286096433353861
92,25,0.9999999999998632,1739,120.4316201210022,6,2,8,453,490,0.15819717726245028
93,16,0.9999999999900655,1295,80.41025280952454,6,2,10,272,495,0.07987200784525787
94,13,0.9999999999999432,1146,65.55521202087402,7,2,13,294,496,0.09277685468097624
95,33,0.9999999640091117,2139,152.9039077758789,6,2,12,468,489,0.20200062412613032
96,1,0.9999999999999432,549,11.120051860809326,7,2,14,123,499,0.01850161344693147
97,0,0.9999999999999432,500,7.199558258056641,6,1,13,130,500,0.0187720001947762
98,78,0.9879731126161881,4382,381.4927747249603,100,0,135,214,441,0.916333126031645
99,26,0.9999999999999432,1786,125.81644415855408,7,1,15,462,486,0.1942272948388164
100,3,0.9999999999999432,649,20.08414602279663,11,1,27,181,499,0.01964986062339007
