run,generations,best_fitness,evaluations,elapsed_time,neurons,inputs,connections,distinct_fitnesses,distinct_genomes,avg_fitness
75,0,0.9999999999999432,500,7.118467092514038,100,0,337,45,500,0.012744008765081657
76,0,0.9999999999999432,500,7.16010594367981,100,0,236,51,500,0.006390233320539982
77,0,0.9999999999999432,500,7.3612961769104,100,0,285,56,500,0.012411912337200175
78,0,0.9999999999897116,500,7.335792064666748,100,0,240,47,500,0.016045690233028854
79,0,0.9999999999999432,500,6.875311851501465,6,2,10,51,500,0.005043643807676597
80,0,0.9999999999999432,500,7.4440598487854,100,0,302,57,500,0.015459518719127967
81,0,0.9999999999999432,500,7.642336130142212,100,0,359,49,500,0.016467299463938254
82,0,0.9999999999999432,500,7.507950067520142,100,0,484,57,500,0.018302240951522795
83,0,0.9999999999999432,500,7.347243785858154,100,0,436,48,500,0.022493520677020862
84,0,0.9999999999999432,500,7.193343877792358,100,0,420,59,500,0.011014538722690962
85,0,0.9999999278847332,500,7.0189528465271,100,0,490,52,500,0.015595069864782186
86,0,0.9999999999999432,500,7.932899713516235,100,0,266,54,500,0.018499868308308173
87,0,0.9999999999999432,500,6.853924036026001,100,0,316,49,500,0.015562737480475427
88,0,0.9999999999987081,500,6.929535865783691,100,0,247,51,500,0.013402764471107926
89,0,0.9999999999953306,500,7.233536958694458,100,0,460,47,500,0.014473727435093973
90,0,0.9999999999999432,500,7.276631832122803,100,0,200,57,500,0.014935970115144493
91,0,0.9999999999999432,500,6.965882062911987,100,0,257,43,500,0.013249667121441324
92,0,0.9999999999999432,500,7.574236869812012,100,0,278,57,500,0.020254436392780618
93,0,0.9999999999999432,500,7.542511701583862,100,0,246,51,500,0.013593203196815751
94,0,0.9999999999999432,500,7.4610912799835205,100,0,258,55,500,0.013104659134559452
95,0,0.9999999822165931,500,6.3168418407440186,100,0,524,49,500,0.009729395809907409
96,0,0.999999999999889,500,7.238797903060913,100,0,295,47,500,0.015108177186469203
97,0,0.9999999999999432,500,7.651174783706665,100,0,511,62,500,0.019434912577403828
98,0,0.9999999999934397,500,6.887873888015747,100,0,342,47,500,0.008169115627890229
99,0,0.9999999999999432,500,7.065318822860718,100,0,423,48,500,0.016692444034560994
100,1,0.999999999999639,549,9.937627077102661,100,0,254,53,499,0.009382452823720471
